REGION,COAST,COAST,COAST,EAST,EAST,EAST,FWEST,FWEST,FWEST,NCENT,NCENT,NCENT,NORTH,NORTH,NORTH,SCENT,SCENT,SCENT,SOUTH,SOUTH,SOUTH,WEST,WEST,WEST
INDICATOR,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load,DryBulbTempC,DryBulbTempCSq,Load
DATE,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01 10:00:00,24.4,595.3599999999999,10969.695989,23.3,542.89,1171.8582377,17.8,316.84000000000003,2141.5783916,20.366666666666667,414.80111111111114,10568.3048383,17.2,295.84,667.3565441000002,22.2,492.84,5525.537007,25.6,655.3600000000001,3227.3651023,17.900000000000006,320.4100000000002,1013.5993239
2017-04-01 11:00:00,23.9,571.2099999999999,11277.6672323,24.4,595.3599999999999,1209.2394933,19.4,376.35999999999996,2153.9980975000008,22.2,492.84,10872.06661,17.03333333333333,290.1344444444444,678.3711105000001,22.8,519.84,5681.0745712,25.6,655.3600000000001,3434.4626688000008,18.8,353.44000000000005,1035.1040015
2017-04-01 12:00:00,23.9,571.2099999999999,11443.8805922,23.9,571.2099999999999,1245.0729423,20.0,400.0,2170.6466859,22.2,492.84,11094.222085,17.8,316.84000000000003,686.1680131,23.9,571.2099999999999,5779.395778800002,26.1,681.21,3605.398867,18.966666666666665,359.73444444444436,1049.6192936
2017-04-01 13:00:00,24.45,597.8025,11754.911342799998,25.6,655.3600000000001,1273.8112577,20.55,422.3025,2185.6835927,23.05,531.3025,11160.135219299998,17.333333333333332,300.4444444444444,689.4691165,23.05,531.3025,5883.7527764,26.4,696.9599999999999,3754.5547596,19.825,393.030625,1063.785714
2017-04-01 14:00:00,25.6,655.3600000000001,12036.0008041,27.2,739.8399999999999,1303.7437412000004,21.7,470.89,2205.7621294,23.3,542.89,11244.6661307,17.2,295.84,690.45483,25.0,625.0,6046.6391149,26.7,712.89,3856.2358438,21.65,468.7224999999999,1082.2224937
2017-04-01 15:00:00,25.6,655.3600000000001,12289.4568407,27.8,772.84,1322.9361645,22.2,492.84,2225.0407833,23.9,571.2099999999999,11275.855646200003,17.3,299.29,697.1790927000002,26.1,681.21,6157.459714399999,28.05,786.8025,3935.8059431,21.8,475.24,1108.8641092
2017-04-01 16:00:00,25.6,655.3600000000001,12381.4628351,28.3,800.89,1356.520627,21.7,470.89,2216.5103684,23.6,556.96,11313.019746,17.2,295.84,697.1908155,25.6,655.3600000000001,6320.6546049,27.8,772.84,3970.2024355,22.05,486.20250000000004,1125.0872143
2017-04-01 17:00:00,24.4,595.3599999999999,12264.0345683,25.6,655.3600000000001,1355.5784571,20.6,424.36000000000007,2207.1858288000008,23.3,542.89,11289.3623961,17.2,295.84,702.5116342,26.1,681.21,6388.7781481,26.7,712.89,3915.6742184,15.95,254.40249999999997,1134.9377644
2017-04-01 18:00:00,23.3,542.89,11967.3567175,25.6,655.3600000000001,1331.2270905,17.2,295.84,2191.488631500001,23.3,542.89,11193.2289535,16.8,282.24,701.2360241,25.0,625.0,6322.994385600001,25.55,652.8025,3774.0511583,12.65,160.0225,1121.8629217
2017-04-01 19:00:00,23.05,531.3025,11846.2032272,22.8,519.84,1307.899924,15.8,249.64000000000001,2167.9321107,23.05,531.3025,11205.1815169,16.4,268.96,705.5320122,24.15,583.2225,6277.3545239,24.7,610.0899999999999,3622.8478592,12.0,144.0,1096.7435059
2017-04-01 20:00:00,22.2,492.84,12002.6212316,20.6,424.36000000000007,1342.3346815,12.2,148.83999999999997,2181.4358661,22.8,519.84,11488.8758936,15.6,243.35999999999999,715.0648426,23.9,571.2099999999999,6382.6532203000015,23.9,571.2099999999999,3637.4990151,11.516666666666666,132.6336111111111,1100.2297181
2017-04-01 21:00:00,22.2,492.84,11788.0613885,22.2,492.84,1267.4310973,11.7,136.89,2172.2584317,23.9,571.2099999999999,11215.6090105,15.6,243.35999999999999,699.2450767999999,23.9,571.2099999999999,6230.6296478,23.9,571.2099999999999,3540.605802800001,10.9,118.81,1077.4364949
2017-04-01 22:00:00,22.2,492.84,11358.1980029,20.6,424.36000000000007,1173.8628771,11.7,136.89,2139.9457242,23.6,556.96,10633.0863286,15.533333333333333,241.28444444444443,663.915257,22.8,519.84,5908.5746938,23.9,571.2099999999999,3373.3884955,11.0,121.0,1033.5573484
2017-04-01 23:00:00,21.7,470.89,10814.362825,19.4,376.35999999999996,1095.1629224,11.7,136.89,2094.380169400001,22.8,519.84,9880.441085200002,15.0,225.0,627.4284121000002,22.2,492.84,5475.3497573,23.9,571.2099999999999,3170.4782372,10.966666666666667,120.26777777777778,977.471233
2017-04-02 00:00:00,21.7,470.89,10227.4591146,17.2,295.84,990.4442361,11.1,123.21,2081.5085384,22.2,492.84,9201.9170941,13.866666666666667,192.28444444444446,601.1914577,21.8,475.24,5047.1578821,23.9,571.2099999999999,2981.0967608,10.328571428571427,106.67938775510201,926.5716396
2017-04-02 01:00:00,21.95,481.80249999999995,9768.1899185,17.2,295.84,992.7487668,10.55,111.30250000000001,2049.8231458,20.8,432.64000000000004,8595.048135,13.133333333333335,172.48444444444448,580.8810942000001,21.4,457.9599999999999,4744.3034592,23.9,571.2099999999999,2797.5135747,9.983333333333333,99.66694444444443,892.3860535
2017-04-02 02:00:00,22.2,492.84,9491.9529521,16.7,278.89,945.1254674,8.375,70.140625,2030.0744851,17.5,306.25,8133.4356742,13.35,178.2225,568.8612965,21.7,470.89,4524.8464111,23.9,571.2099999999999,2681.471762,9.94,98.80359999999999,868.0845071
2017-04-02 03:00:00,22.2,492.84,9331.256797,17.2,295.84,929.6266183,8.05,64.80250000000001,2023.3246108,17.2,295.84,7915.5056363,11.866666666666665,140.81777777777774,562.9084424,21.1,445.21000000000004,4387.3873407,23.9,571.2099999999999,2592.1120219,9.566666666666666,91.52111111111111,855.3004917000003
2017-04-02 04:00:00,22.8,519.84,9325.4550066,17.15,294.12249999999995,928.150709,7.8,60.839999999999996,2025.9244997,17.2,295.84,7790.6088371,11.699999999999998,136.88999999999993,562.7454393999999,21.1,445.21000000000004,4329.6089464,23.9,571.2099999999999,2555.3593021,9.0,81.0,854.1499832999998
2017-04-02 05:00:00,22.8,519.84,9361.3760131,17.5,306.25,937.1266487,8.3,68.89000000000001,2019.3989467,17.8,316.84000000000003,7890.062336,11.7,136.89,568.9917307999998,21.1,445.21000000000004,4347.1064942,24.4,595.3599999999999,2541.4833366000007,9.05,81.90250000000002,863.5018511
2017-04-02 06:00:00,23.3,542.89,9579.872254,18.2,331.23999999999995,954.976962,7.975,63.600624999999994,2042.6849717,17.8,316.84000000000003,8138.2067345,11.1,123.21,588.8869247,20.733333333333334,429.87111111111113,4469.8958455,24.4,595.3599999999999,2584.8559857,9.0125,81.22515624999998,883.9313233999999
2017-04-02 07:00:00,23.3,542.89,9781.6654452,18.3,334.89000000000004,997.6277085,7.8,60.839999999999996,2082.8493858,17.433333333333334,303.92111111111114,8522.511899699999,11.64,135.48960000000002,604.7075919,20.3,412.09000000000003,4683.012413,24.4,595.3599999999999,2614.6149717,9.033333333333333,81.60111111111111,910.913005
2017-04-02 08:00:00,23.625,558.140625,10063.964643,18.3,334.89000000000004,1064.0735842,7.8,60.839999999999996,2093.9324899,16.1,259.21000000000004,9040.9211545,11.699999999999998,136.88999999999993,633.895798,20.6,424.36000000000007,4951.375611,24.6,605.1600000000001,2701.8804169,8.971428571428572,80.4865306122449,936.1359613
2017-04-02 09:00:00,24.4,595.3599999999999,10599.368574200002,17.25,297.5625,1112.1422303,9.4,88.36000000000001,2130.6741953,16.25,264.0625,9580.2338627,11.7,136.89,658.3200555,19.566666666666666,382.8544444444444,5160.4418836,25.85,668.2225000000001,2904.8361987,8.98,80.64040000000001,967.5459471
